A,zeta,phi0,Rc,k,Mc,Vmax,chi2_red,success,name
0.3225216248830465,0.01,1.4689781669349509,0.9838515821579339,3.295620554773,66749920.471681,16.8,2.411598362212609,True,CamB
0.4920130118644645,0.026152546665431153,6.118571860143703,0.6175686425223943,4.759451457971281,24308573.32397247,35.9,0.0,False,D512-2
0.5731604506990519,0.01,4.668734282548191,2.081031217324696,1.3697334151107259,59513629.751774535,24.0,0.048983842600275426,True,D564-8
0.1735888418751784,0.01,0.2927591930896975,2.4012233363848203,5.0,439199190.7662974,57.7,0.15343626446307165,True,D631-7
0.7402887813027716,0.026899808434926703,2.258925020882266,0.9624382805887027,2.994670159283971,56536971.218914695,46.4,0.10776209451532573,True,DDO064
0.1846825285483543,0.010000030810572864,2.8551584157285874,1.5418913166842227,2.8237637831346656,103259334.65163842,47.4,0.26903036150038584,True,DDO154
0.25857529477019175,0.011032694511773664,4.24071206428241,3.2156115802439325,5.0,922297004.141774,66.3,0.21928765181072457,True,DDO161
0.4437016039536626,0.01686289525880469,5.849366973590101,1.2968411847001513,3.8037051233579904,191826136.87024543,54.8,0.7050984760206638,True,DDO168
0.7999944914055015,0.010000013231110834,4.592031070342331,3.2743301039976203,3.723570561522675,458721288.14598346,60.0,0.6446540446077503,True,DDO170
0.5506340979878852,0.01,4.935420391732846,4.754369531510476,4.716920586130727,8736828624.677492,177.0,6.057415711118589,True,ESO079-G014
0.8,0.035751095447271675,0.06571145858634267,2.3045425468976464,3.99796126909461,2041325754.4750218,111.0,2.4542886915442295,True,ESO116-G012
0.17219790662759463,0.01109217706646935,0.704608192774063,0.9154130547190388,3.870309257464229,81628289.91046306,62.7,0.4197366204080481,True,ESO444-G084
0.8,0.01,3.0113956970769262,5.542245950822792,4.380862615541964,47826732303.75441,315.0,5.365784226764459,True,ESO563-G021
0.7308856574504615,0.01,2.544676175593696,2.0284262384649563,5.0,471486951.525707,50.4,0.027964754076630183,True,F561-1
0.46363241224445556,0.013951049507836075,2.800851512385307,2.889972721964539,3.770664306556738,570050857.442529,111.0,0.20153227231296889,True,F563-1
0.4336148971394107,0.020294271364199794,2.1275125744083945,1.8410296912773472,3.7382307988973262,95766779.23835534,28.6,0.003928578820715107,True,F563-V1
0.19935683588962155,0.01,5.782836981877601,2.355826599495256,4.351268804277614,816827028.1592994,118.0,0.07070388878346125,True,F563-V2
0.4089251987573531,0.01,1.1924978599273393,3.083282212483903,3.0434164594154174,347206623.34264153,78.5,0.14913049131603928,True,F565-V2
0.8,0.029269045507325397,2.8148135656029836,1.6478231835539545,5.0,232536174.14912322,48.1,0.2774814322074459,True,F567-2
0.2316216615657857,0.010656119172531618,5.146089373089808,3.1719238409867265,3.6864813209335,1201759376.9905157,133.0,0.08355270432616416,True,F568-1
0.8,0.034073553419266885,4.509332268175355,5.088265241761466,2.5605511499481515,2715768596.039548,117.0,0.29218859311271606,True,F568-3
0.1959716367337832,0.01,5.828489842963019,1.934634999326354,4.810227094162769,543494626.4607546,113.0,0.031131436159622838,True,F568-V1
0.8,0.023429540841847764,2.5942639770065266,3.8711175389720474,4.882435484440994,9526395736.099419,140.0,1.469066050367056,True,F571-8
0.3284859203246968,0.01000000351269936,1.3767441214574891,3.5205471226707092,4.0389184282973964,1066628825.2707347,83.9,0.012200598314759345,True,F571-V1
0.16156658801467183,0.01,4.495147788729879,2.6307655599233684,5.0,1057461449.6800255,99.5,0.08875824264966266,True,F574-1
0.6798213572671832,0.01,2.224342947181775,3.864327983718403,5.0,665910514.3480725,36.0,0.01948727715992772,True,F574-2
0.8,0.011145810698800326,2.8278654635475826,1.9720841356209988,1.9172179298743934,1018598379.5221618,114.0,0.016095297831121187,True,F579-V1
0.6261519989815556,0.05930192852031795,5.507891880975026,3.945821105061677,2.1543318729466425,579244898.8884356,85.8,0.13705439467159353,True,F583-1
0.20113021942597287,0.01,5.939678702291447,2.220204483328038,4.09467019254562,580992553.6537056,67.2,0.25184543076050125,True,F583-4
0.1921036170947444,0.07163010629879432,5.810419215946231,5.776808002655601,4.383501703406888,1225279099.3235085,67.1,3.7367513124914837,True,IC2574
0.8,0.01,1.9733161581059313,3.1915736595107433,3.776846023887049,26380517960.9834,243.0,3.1597417056472152,True,IC4202
0.5604703135734248,0.01,2.688976137759664,1.2011881678852399,1.0149097805733602,58951405.68476902,34.2,0.4627314752612812,True,KK98-251
0.43925964937449136,0.012123104253954986,4.819303862174616,1.0273110514257635,1.323972063504657,580558924.5157497,109.0,0.2104229477907035,True,NGC0024
0.6496050821408219,0.01563716541963793,0.04384348927200026,2.6034484386992904,5.0,1134252340.7300892,86.5,0.15715990584988387,True,NGC0055
0.11701741367048465,0.01,0.9304663700356418,2.980583889436989,2.641003169941301,1997315777.6807911,90.4,0.0895874662600396,True,NGC0100
0.8,0.017794193995881048,3.377365617547143,4.732953368096482,2.773812944502888,2771338338.6229095,107.0,0.29674841033640015,True,NGC0247
0.2538027509851876,0.558278441564479,3.9581891216523815,0.10000559678049115,3.5746666099933013,301819343.4141081,165.0,5.293639855038401,True,NGC0289
0.15905540936996268,0.01,2.7743865040683535,2.4233224456264963,4.100522390912964,1250668930.2059436,92.8,1.0753782121292317,True,NGC0300
0.4744246362020243,0.45691824571750905,1.4444374735854146,1.2853221693497392,0.7880561147694516,10975545527.883812,216.0,15.8171925278727,True,NGC0801
0.4378062723962956,0.28564105242630383,3.4231596910942,0.10000026349015556,1.6956746439696144,2046704213.2137992,210.0,19.710097368742854,True,NGC0891
0.8,0.01,0.3364687234301248,6.128913208472684,3.4316271719841183,8459878325.665398,113.0,2.239089946082576,True,NGC1003
0.8,0.01,1.4028445402675165,2.383364813106215,5.0,8718540900.529211,162.0,4.179648038769122,True,NGC1090
0.5865286784071273,0.01,3.317983372010105,0.21154714429516397,5.0,55075860.29016131,71.5,0.07733035496121028,True,NGC1705
0.3087485074647467,0.01,4.715679311327992,1.4321735008640155,4.391328303038993,219996434.1382089,49.4,0.31619478471111584,True,NGC2366
0.8,0.01,4.9853481335086505,1.9215325104147727,2.6671500537796384,4517951121.619308,135.0,11.763177055229576,True,NGC2403
0.6464122793370861,0.9309445973976173,0.48685535422467474,0.10000052131882597,4.009912874624992,1055572171.2697779,155.0,57.27059631258075,True,NGC2683
0.6125069181814846,0.06697915670998839,5.081237370049313,0.10000000898133976,3.5643495445125817,2907216167.070182,289.0,10.325222689812247,True,NGC2841
0.8,0.01,2.2308791557846424,0.4801944862895352,4.195545900745542,4510007021.73957,180.0,121.44766143792204,True,NGC2903
0.4289502815396107,0.01,0.7600142954263733,1.9438876344005735,3.557404083434497,741425770.0462434,86.1,0.08224111925565875,True,NGC2915
0.8,0.01,5.945763273649509,0.814082930163913,5.0,5910239704.04449,248.0,5.788485592206182,True,NGC2955
0.8,0.01378379761881435,6.03437527845525,0.7765981588701804,3.9192122849011413,335090726.4214649,85.3,1.262188422100312,True,NGC2976
0.8,0.01,4.37080133196357,1.4350973812326886,5.0,4090183611.575525,213.0,1.548378417137461,True,NGC2998
0.07631911999141797,0.026077119609568048,2.0421803841473674,2.8806214411002573,4.824669063032688,280590132.5880571,66.3,2.2225526228186347,True,NGC3109
0.8,0.01,3.1350493564579223,2.2335055326734725,4.201665367257837,3926062023.7244,150.0,2.8868630350111073,True,NGC3198
0.5363019977641301,0.6079426714291116,1.3153744935078024,0.4446676643689632,3.4910479976908757,3702566765.4421973,206.0,0.8732719963491467,True,NGC3521
0.8,0.01,4.3036591922761716,3.936963623388737,5.0,19161190102.24674,168.0,3.149148988437699,True,NGC3726
0.8,0.015814489492596347,0.346490609255011,0.6712688444512034,5.0,33411729.175590195,50.2,0.27422626726723137,True,NGC3741
0.8,0.01,2.3043436120294105,1.3197927588753466,5.0,4732842404.344163,118.0,1.379479191666721,True,NGC3769
0.62673420271315,0.010000066721037858,1.3230245186099412,2.301217188790988,4.999999765536963,7639841940.191895,170.0,0.8333020079252804,True,NGC3877
0.8,0.01,3.297500574212789,0.9671365733263821,5.0,8932539166.738106,176.0,5.9299558186830525,True,NGC3893
0.565290262331256,0.01,1.1686763767133885,2.6140155459664096,5.0,2226261167.8878536,137.0,0.35910040778258295,True,NGC3917
0.8,0.01,5.535499669088017,1.3901650009966875,4.335734802947156,7319687221.006561,165.0,0.13044755162567756,True,NGC3949
